state	type_with_type	type_with_flowers	flowers_with_type	flowers_with_flowers
15720000	1	0.502278427053879	0.502278427053879	1
15730000	1	0.655734868915672	0.655734868915672	1
15740000	1	0.448755736674255	0.448755736674255	1
15750000	1	0.437492425333219	0.437492425333218	1
15760000	1	0.217062448222332	0.217062448222332	1
15770000	1	0.270409562662811	0.270409562662811	1
15780000	1	0.573331372493122	0.573331372493122	1
15790000	1	0.450153631256207	0.450153631256207	1
15800000	1	0.38393578541532	0.38393578541532	1
15810000	1	0.291999024704425	0.291999024704425	1
15820000	1	0.408893165871111	0.408893165871111	1
15830000	1	0.699845877326439	0.699845877326438	1
15840000	1	0.42752657870128	0.42752657870128	1
15850000	1	0.65091184286241	0.65091184286241	1
15860000	1	0.54065563450623	0.54065563450623	1
15870000	1	0.570151348115367	0.570151348115367	1
15880000	1	0.58414701993987	0.58414701993987	1
15890000	1	0.572397793374733	0.572397793374733	1
15900000	1	0.529754498284769	0.529754498284769	1
15910000	1	0.189541707659903	0.189541707659903	1
15920000	1	0.672881232892793	0.672881232892793	1
15930000	1	0.399595107769378	0.399595107769378	1
15940000	1	0.668583395142685	0.668583395142685	1
15950000	1	0.616974270555047	0.616974270555047	1
15960000	1	0.519395547513177	0.519395547513177	1
15970000	1	0.387401508185299	0.387401508185299	1
15980000	1	0.415331888167943	0.415331888167943	1
15990000	1	0.306913291960096	0.306913291960096	1
1.6e+07	1	0.569135854765216	0.569135854765216	1
16010000	1	0.359870289516272	0.359870289516273	1
16020000	1	0.395745877633167	0.395745877633167	1
16030000	1	0.567155496907066	0.567155496907066	1
16040000	1	0.552631245700577	0.552631245700577	1
16050000	1	0.681977681062444	0.681977681062444	1
16060000	1	0.529346164868202	0.529346164868202	1
16070000	1	0.779502820628445	0.779502820628446	1
16080000	1	0.564984858569486	0.564984858569486	1
16090000	1	0.466374397306966	0.466374397306966	1
16100000	1	0.683880123004511	0.683880123004511	1
16110000	1	0.550046019611338	0.550046019611338	1
16120000	1	0.562469161079687	0.562469161079687	1
16130000	1	0.789420133696899	0.789420133696899	1
16140000	1	0.466346885991961	0.466346885991961	1
16150000	1	0.540308225719069	0.540308225719069	1
16160000	1	0.677398543699727	0.677398543699727	1
16170000	1	0.436105233331737	0.436105233331737	1
16180000	1	0.102930152322733	0.102930152322733	1
16190000	1	0.561768138059413	0.561768138059413	1
16200000	1	0.678841761716827	0.678841761716827	1
16210000	1	0.298280144222474	0.298280144222474	1
16220000	1	0.583913839854116	0.583913839854116	1
16230000	1	0.468588212716607	0.468588212716607	1
16240000	1	0.288069059463626	0.288069059463626	1
16250000	1	0.697161206826634	0.697161206826634	1
16260000	1	0.391363798552322	0.391363798552322	1
16270000	1	0.60489230544972	0.60489230544972	1
16280000	1	0.56493851744923	0.56493851744923	1
16290000	1	0.615258260307751	0.615258260307752	1
16300000	1	0.666882229633893	0.666882229633893	1
16310000	1	0.473415471021223	0.473415471021223	1
16320000	1	0.535767875659042	0.535767875659042	1
16330000	1	0.338425185799346	0.338425185799346	1
16340000	1	0.691742506898472	0.691742506898472	1
16350000	1	0.587448857601061	0.587448857601061	1
16360000	1	0.463841870969883	0.463841870969883	1
16370000	1	0.717435045834322	0.717435045834322	1
16380000	1	0.479941921681693	0.479941921681693	1
16390000	1	0.497714574550656	0.497714574550656	1
16400000	1	0.562931075789845	0.562931075789845	1
16410000	1	0.647003689108207	0.647003689108207	1
16420000	1	0.3068539144877	0.3068539144877	1
16430000	1	0.469649841917323	0.469649841917323	1
16440000	1	0.594962687174342	0.594962687174342	1
16450000	1	0.418290575740468	0.418290575740468	1
16460000	1	0.421097711368099	0.421097711368099	1
16470000	1	0.167832151436169	0.167832151436169	1
16480000	1	0.356290162574531	0.356290162574531	1
16490000	1	0.391225911749808	0.391225911749808	1
16500000	1	0.584095160546724	0.584095160546724	1
16510000	1	0.610954181143152	0.610954181143152	1
16520000	1	0.430746503577615	0.430746503577615	1
16530000	1	0.546393563023039	0.546393563023039	1
16540000	1	0.47893264104625	0.47893264104625	1
16550000	1	0.44249122088476	0.44249122088476	1
16560000	1	0.506902466876488	0.506902466876488	1
16570000	1	0.750010878808283	0.750010878808283	1
16580000	1	0.501666450557637	0.501666450557637	1
16590000	1	0.614248783056534	0.614248783056534	1
16600000	1	0.264462005809283	0.264462005809283	1
16610000	1	0.557815700676247	0.557815700676247	1
16620000	1	0.686411334238387	0.686411334238387	1
16630000	1	0.59929539355129	0.59929539355129	1
16640000	1	0.211545484611595	0.211545484611595	1
16650000	1	0.506108596493879	0.506108596493879	1
16660000	1	0.516124808720938	0.516124808720938	1
16670000	1	0.570551285957734	0.570551285957734	1
16680000	1	0.548427940378031	0.548427940378031	1
