state	type_with_type	type_with_size	type_with_flowers	size_with_type	size_with_size	size_with_flowers	flowers_with_type	flowers_with_size	flowers_with_flowers
2560000	1	0.078536296323855	-0.523003705531013	0.0785362963238551	1	0.140905289554253	-0.523003705531013	0.140905289554253	1
2570000	1	0.362237910125134	-0.586862559413189	0.362237910125134	1	-0.173882738000648	-0.586862559413189	-0.173882738000648	1
2580000	1	-0.119777846492962	-0.509055329960029	-0.119777846492962	1	0.105891926350503	-0.509055329960029	0.105891926350503	1
2590000	1	0.142014899929269	-0.510082968393216	0.142014899929269	1	-0.0156288824291782	-0.510082968393216	-0.0156288824291782	1
2600000	1	-0.0465522564574598	-0.575730973392507	-0.0465522564574598	1	0.0709751656213871	-0.575730973392507	0.0709751656213871	1
2610000	1	-0.248502643165942	-0.705731036255371	-0.248502643165942	1	0.299593388560592	-0.705731036255371	0.299593388560592	1
2620000	1	-0.464928387244379	-0.534773606165851	-0.464928387244379	1	0.0528424516051469	-0.534773606165851	0.0528424516051469	1
2630000	1	-0.298056657656498	-0.601776966588347	-0.298056657656498	1	0.010206638584829	-0.601776966588347	0.010206638584829	1
2640000	1	-0.0947110018147784	-0.586344946471755	-0.0947110018147783	1	0.155861689867012	-0.586344946471755	0.155861689867012	1
2650000	1	-0.0616492918821063	-0.671308235040409	-0.0616492918821063	1	-0.00716930933467946	-0.671308235040408	-0.00716930933467946	1
2660000	1	-0.1808153959897	-0.474168050671132	-0.1808153959897	1	0.0755123229576198	-0.474168050671132	0.0755123229576198	1
2670000	1	-0.213432616187171	-0.574958631246368	-0.213432616187171	1	0.274155595570982	-0.574958631246368	0.274155595570982	1
2680000	1	-0.1041261284721	-0.50519785304506	-0.1041261284721	1	0.304613275305175	-0.50519785304506	0.304613275305175	1
2690000	1	0.0547255743602299	-0.559338423960594	0.0547255743602299	1	0.0137700910211523	-0.559338423960594	0.0137700910211523	1
2700000	1	-0.323304649277334	-0.597509469473303	-0.323304649277334	1	0.180359685311725	-0.597509469473303	0.180359685311725	1
2710000	1	0.161732469429799	-0.592510207465752	0.161732469429799	1	0.166686855203759	-0.592510207465752	0.166686855203759	1
2720000	1	-0.31672747016599	-0.697351135069116	-0.31672747016599	1	0.251721084757545	-0.697351135069116	0.251721084757545	1
2730000	1	0.105362909432492	-0.278898508574747	0.105362909432492	1	0.162309367318269	-0.278898508574747	0.162309367318269	1
2740000	1	-0.333998813690588	-0.64346649720547	-0.333998813690588	1	0.200376391983949	-0.64346649720547	0.200376391983949	1
2750000	1	-0.376397414731815	-0.623383509814312	-0.376397414731815	1	0.0280416724654652	-0.623383509814312	0.0280416724654651	1
2760000	1	-0.208937961879759	-0.700120843116455	-0.208937961879759	1	0.062977427865706	-0.700120843116455	0.062977427865706	1
2770000	1	-0.00430945957803964	-0.694237852239015	-0.00430945957803963	1	0.104391702286948	-0.694237852239015	0.104391702286948	1
2780000	1	-0.0317828190617083	-0.450441082766234	-0.0317828190617083	1	0.23241947741705	-0.450441082766234	0.23241947741705	1
2790000	1	0.0189762718955217	-0.692571709916368	0.0189762718955217	1	0.0930691711682892	-0.692571709916368	0.0930691711682892	1
2800000	1	-0.262640504885688	-0.4160119864359	-0.262640504885688	1	0.0886761789946857	-0.416011986435899	0.0886761789946857	1
2810000	1	-0.0553649481999176	-0.522619741012695	-0.0553649481999176	1	0.0502414705464379	-0.522619741012694	0.0502414705464379	1
2820000	1	-0.25853378856263	-0.570392249068125	-0.25853378856263	1	0.234793196889978	-0.570392249068125	0.234793196889978	1
2830000	1	0.271069345841287	-0.288599232858725	0.271069345841287	1	0.11982378412063	-0.288599232858725	0.11982378412063	1
2840000	1	-0.221166830753749	-0.58820416502636	-0.221166830753749	1	0.275650954394474	-0.58820416502636	0.275650954394474	1
2850000	1	-0.188322486565315	-0.573815208076227	-0.188322486565315	1	0.0147824053098253	-0.573815208076227	0.0147824053098253	1
2860000	1	-0.056346772296554	-0.583400108588558	-0.056346772296554	1	0.0367716271646841	-0.583400108588558	0.0367716271646841	1
2870000	1	-0.329682164759387	-0.484429695183586	-0.329682164759387	1	-0.0540494227207012	-0.484429695183586	-0.0540494227207012	1
2880000	1	-0.4219564145076	-0.442794595664555	-0.4219564145076	1	0.330747860036232	-0.442794595664555	0.330747860036232	1
2890000	1	0.210306487045013	-0.311890191700939	0.210306487045013	1	0.140564413949794	-0.311890191700939	0.140564413949794	1
2900000	1	-0.0413355135958569	-0.573798267323708	-0.0413355135958569	1	-0.0694320430992405	-0.573798267323708	-0.0694320430992405	1
2910000	1	-0.284686419045654	-0.68918240554136	-0.284686419045654	1	0.363345462909489	-0.68918240554136	0.363345462909489	1
2920000	1	-0.195631088307133	-0.62175565365488	-0.195631088307133	1	0.28124570823951	-0.62175565365488	0.28124570823951	1
2930000	1	-0.112910067580756	-0.702454510890517	-0.112910067580756	1	-0.0296998653473593	-0.702454510890517	-0.0296998653473594	1
2940000	1	-0.232214054012647	-0.625078202352824	-0.232214054012647	1	0.250968649038364	-0.625078202352824	0.250968649038364	1
2950000	1	-0.511966633179153	-0.539180286421885	-0.511966633179153	1	0.184120842066611	-0.539180286421885	0.184120842066611	1
2960000	1	-0.128177453724398	-0.751541825138291	-0.128177453724398	1	0.143472918005722	-0.751541825138291	0.143472918005722	1
2970000	1	-0.197695641083332	-0.368783224023703	-0.197695641083332	1	0.143345511385445	-0.368783224023703	0.143345511385445	1
2980000	1	0.0450978239568672	-0.467755488196574	0.0450978239568672	1	0.0406300143598999	-0.467755488196574	0.0406300143598999	1
2990000	1	-0.323124072222558	-0.485552664452519	-0.323124072222558	1	0.0705693661992759	-0.485552664452519	0.0705693661992759	1
3e+06	1	-0.366222332999605	-0.428973558675449	-0.366222332999605	1	0.222440972224349	-0.428973558675449	0.222440972224349	1
3010000	1	-0.271078012942735	-0.683426253480154	-0.271078012942735	1	0.30417511463285	-0.683426253480154	0.30417511463285	1
3020000	1	-0.0274621290777131	-0.725376641587587	-0.0274621290777131	1	0.176795470814308	-0.725376641587587	0.176795470814308	1
3030000	1	-0.0106397658707548	-0.28263538060513	-0.0106397658707548	1	0.174258376694566	-0.28263538060513	0.174258376694566	1
3040000	1	-0.0690634510876241	-0.693203895286664	-0.069063451087624	1	0.162091507451192	-0.693203895286664	0.162091507451192	1
3050000	1	0.00230126024773233	-0.270063410372716	0.00230126024773233	1	0.184434536913732	-0.270063410372716	0.184434536913732	1
3060000	1	-0.357741397384431	-0.61871451196339	-0.357741397384431	1	0.263253810603043	-0.61871451196339	0.263253810603043	1
3070000	1	0.0524894993538992	-0.579998758533659	0.0524894993538991	1	0.0224543648710668	-0.579998758533659	0.0224543648710668	1
