state	type_with_type	type_with_size	type_with_density	size_with_type	size_with_size	size_with_density	density_with_type	density_with_size	density_with_density
13470000	1	-0.0010445091321078	-0.750500564796665	-0.00104450913210779	1	-0.193099360202235	-0.750500564796665	-0.193099360202235	1
13480000	1	-0.19257306333459	-0.778269256530038	-0.19257306333459	1	0.210258303739781	-0.778269256530038	0.210258303739781	1
13490000	1	-0.340364350471198	-0.55645961904428	-0.340364350471198	1	0.208588556417255	-0.55645961904428	0.208588556417255	1
13500000	1	0.219530947059807	-0.467576459947856	0.219530947059807	1	-0.17160750359951	-0.467576459947856	-0.17160750359951	1
13510000	1	-0.246115322546682	-0.65855212903526	-0.246115322546682	1	0.281459063375362	-0.65855212903526	0.281459063375362	1
13520000	1	-0.304790356830684	-0.642550498469208	-0.304790356830684	1	0.328522964557204	-0.642550498469208	0.328522964557204	1
13530000	1	-0.525867597894663	-0.791878891462569	-0.525867597894663	1	0.256911841355226	-0.791878891462569	0.256911841355226	1
13540000	1	-0.0806811904362153	-0.558134534885879	-0.0806811904362153	1	0.117009245967358	-0.558134534885879	0.117009245967358	1
13550000	1	-0.17556956864712	-0.634610771141613	-0.17556956864712	1	0.195364861326192	-0.634610771141613	0.195364861326192	1
13560000	1	-0.388795274865694	-0.386652978566042	-0.388795274865694	1	0.0831753897215143	-0.386652978566042	0.0831753897215143	1
13570000	1	-0.00691242467363969	-0.304999236356158	-0.00691242467363969	1	0.0197666479362737	-0.304999236356158	0.0197666479362737	1
13580000	1	-0.114311158621354	-0.737080160028558	-0.114311158621354	1	0.0288583343058736	-0.737080160028559	0.0288583343058736	1
13590000	1	-0.0322129670965429	-0.634043791072081	-0.0322129670965429	1	0.17905225688852	-0.634043791072081	0.17905225688852	1
13600000	1	-0.124433221059318	-0.611874814276744	-0.124433221059318	1	0.256024406914863	-0.611874814276744	0.256024406914863	1
13610000	1	-0.340809093791063	-0.539029698751027	-0.340809093791063	1	0.0667146795852912	-0.539029698751027	0.0667146795852911	1
13620000	1	0.0459200569622356	-0.578895492004733	0.0459200569622356	1	0.0520067769493641	-0.578895492004733	0.0520067769493641	1
13630000	1	-0.253865190179706	-0.767453792614957	-0.253865190179706	1	0.132788114818252	-0.767453792614957	0.132788114818252	1
13640000	1	-0.14156814117573	-0.641398580967005	-0.14156814117573	1	-0.0151734872693902	-0.641398580967005	-0.0151734872693902	1
13650000	1	-0.0634475653005898	-0.579130322750214	-0.0634475653005898	1	-0.0669751483736346	-0.579130322750214	-0.0669751483736346	1
13660000	1	-0.330554624537194	-0.51759177718186	-0.330554624537194	1	0.285566607851523	-0.51759177718186	0.285566607851523	1
13670000	1	-0.0300185547383585	-0.680130890245185	-0.0300185547383585	1	0.0807608897816827	-0.680130890245185	0.0807608897816827	1
13680000	1	-0.289936093453898	-0.741798275015607	-0.289936093453898	1	0.154702381276834	-0.741798275015606	0.154702381276834	1
13690000	1	-0.335781315624694	-0.532335392854858	-0.335781315624694	1	-0.00371663269647959	-0.532335392854858	-0.00371663269647959	1
