state	type_with_type	type_with_density	density_with_type	density_with_density
4430000	1	-0.627968662668698	-0.627968662668698	1
4440000	1	-0.613057803816494	-0.613057803816494	1
4450000	1	-0.576153553974016	-0.576153553974016	1
4460000	1	-0.392404692863996	-0.392404692863997	1
4470000	1	-0.362681805674852	-0.362681805674852	1
4480000	1	-0.481696348885324	-0.481696348885324	1
4490000	1	-0.771145235039738	-0.771145235039738	1
4500000	1	-0.496721207455767	-0.496721207455767	1
4510000	1	-0.728537957922755	-0.728537957922755	1
4520000	1	-0.61054425656454	-0.61054425656454	1
4530000	1	-0.608528674482534	-0.608528674482534	1
4540000	1	-0.706311622879581	-0.706311622879581	1
4550000	1	-0.638200108327313	-0.638200108327313	1
4560000	1	-0.569173545058569	-0.569173545058569	1
4570000	1	-0.547380138728787	-0.547380138728787	1
4580000	1	-0.630657492288277	-0.630657492288277	1
4590000	1	-0.585217833450271	-0.585217833450271	1
4600000	1	-0.691620306039923	-0.691620306039923	1
4610000	1	-0.68703043810214	-0.68703043810214	1
4620000	1	-0.687132232992249	-0.687132232992249	1
4630000	1	-0.666219837677623	-0.666219837677623	1
4640000	1	-0.610068896919218	-0.610068896919218	1
4650000	1	-0.471264421558382	-0.471264421558382	1
4660000	1	-0.753271344741753	-0.753271344741753	1
4670000	1	-0.636309885669712	-0.636309885669712	1
4680000	1	-0.70313521655473	-0.70313521655473	1
4690000	1	-0.522758056901819	-0.522758056901819	1
4700000	1	-0.775127948017327	-0.775127948017327	1
4710000	1	-0.56146160195759	-0.56146160195759	1
4720000	1	-0.741381160466851	-0.741381160466851	1
4730000	1	-0.661680882843253	-0.661680882843253	1
4740000	1	-0.677618000061706	-0.677618000061706	1
4750000	1	-0.513678712604754	-0.513678712604754	1
4760000	1	-0.613256109510084	-0.613256109510084	1
4770000	1	-0.698750214992873	-0.698750214992873	1
4780000	1	-0.763199675980414	-0.763199675980414	1
4790000	1	-0.79812037638747	-0.79812037638747	1
4800000	1	-0.531978630288297	-0.531978630288297	1
4810000	1	-0.704521245236268	-0.704521245236268	1
4820000	1	-0.675455943117355	-0.675455943117356	1
4830000	1	-0.599972948635363	-0.599972948635363	1
4840000	1	-0.513442896548214	-0.513442896548214	1
4850000	1	-0.50501472770694	-0.50501472770694	1
4860000	1	-0.626826594969284	-0.626826594969284	1
4870000	1	-0.62333313828598	-0.62333313828598	1
4880000	1	-0.704112107835745	-0.704112107835745	1
4890000	1	-0.591836867829088	-0.591836867829088	1
4900000	1	-0.746707864721134	-0.746707864721134	1
4910000	1	-0.380825194228549	-0.380825194228549	1
4920000	1	-0.688390117017803	-0.688390117017803	1
4930000	1	-0.60675826476404	-0.60675826476404	1
4940000	1	-0.70007291347297	-0.70007291347297	1
4950000	1	-0.519199765860932	-0.519199765860932	1
4960000	1	-0.637513094391516	-0.637513094391516	1
4970000	1	-0.728703802742714	-0.728703802742714	1
4980000	1	-0.744669368342197	-0.744669368342197	1
4990000	1	-0.650276435922899	-0.650276435922899	1
5e+06	1	-0.578492980572461	-0.578492980572461	1
5010000	1	-0.472642357529571	-0.472642357529571	1
5020000	1	-0.596847323351115	-0.596847323351115	1
5030000	1	-0.681787225800043	-0.681787225800043	1
5040000	1	-0.689955286127291	-0.689955286127291	1
5050000	1	-0.670334169699933	-0.670334169699933	1
5060000	1	-0.415438035426606	-0.415438035426606	1
5070000	1	-0.60067831611493	-0.60067831611493	1
5080000	1	-0.624242050223454	-0.624242050223454	1
5090000	1	-0.444694361067636	-0.444694361067636	1
5100000	1	-0.810564651759266	-0.810564651759266	1
5110000	1	-0.3283054323018	-0.3283054323018	1
5120000	1	-0.457227128150976	-0.457227128150976	1
5130000	1	-0.530489543151798	-0.530489543151798	1
5140000	1	-0.318230795569474	-0.318230795569474	1
5150000	1	-0.568603579017324	-0.568603579017324	1
5160000	1	-0.53322924035136	-0.53322924035136	1
5170000	1	-0.703168008992866	-0.703168008992866	1
5180000	1	-0.499536764747119	-0.499536764747119	1
5190000	1	-0.60842504385497	-0.60842504385497	1
5200000	1	-0.694108300912428	-0.694108300912428	1
5210000	1	-0.564878725792315	-0.564878725792315	1
5220000	1	-0.626252587004698	-0.626252587004699	1
5230000	1	-0.590240865799876	-0.590240865799876	1
5240000	1	-0.626537358084885	-0.626537358084885	1
5250000	1	-0.738062585302694	-0.738062585302694	1
5260000	1	-0.628299418888077	-0.628299418888077	1
5270000	1	-0.759792626211439	-0.759792626211439	1
5280000	1	-0.661219866713861	-0.661219866713861	1
5290000	1	-0.627268490370004	-0.627268490370004	1
5300000	1	-0.666754943832131	-0.666754943832131	1
5310000	1	-0.611144622246473	-0.611144622246473	1
5320000	1	-0.614046699643455	-0.614046699643455	1
