Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
830	-78.60409	-84.47047	5.866379	1.510823	0.5117155	0.0627899	0.110259	0.0688677	0.0618336	0.084809	0.072947	0.316078	0.222415
840	-79.43572	-83.80409	4.36837	1.835576	0.935967	0.0407163	0.227064	0.119176	0.0554839	0.108771	0.208374	0.187858	0.0525579
850	-78.7388	-84.83449	6.095686	1.276504	0.6313807	0.142601	0.0690882	0.171705	0.21622	0.127926	0.0559279	0.0619879	0.154544
860	-79.35043	-83.60287	4.252435	1.81179	1.01772	0.130533	0.0472144	0.0854527	0.244444	0.131449	0.044533	0.0204075	0.295965
870	-79.22205	-83.7448	4.522748	1.825495	0.8688584	0.0518017	0.0187369	0.214561	0.0351434	0.251634	0.0684307	0.00809865	0.351594
880	-79.0793	-86.05938	6.98008	0.96951	0.4961777	0.0453547	0.148343	0.101091	0.0307696	0.0728054	0.193162	0.100638	0.307836
890	-78.13189	-84.68616	6.554273	1.223092	0.4554994	0.0117924	0.0971335	0.0457962	0.0455297	0.169031	0.135389	0.06572	0.429608
900	-79.09404	-85.64212	6.548077	1.356175	0.3255148	0.014016	0.112527	0.306681	0.0231946	0.056865	0.0343769	0.138387	0.313953
910	-80.55424	-83.21432	2.660079	2.26901	1.356678	0.0760204	0.0876284	0.163669	0.00597168	0.100878	0.0183462	0.142313	0.405174
920	-78.86437	-84.80874	5.944364	1.280895	0.7026509	0.155106	0.310668	0.0824433	0.00748482	0.183639	0.0274675	0.0200466	0.213144
930	-79.63324	-86.96896	7.335726	0.9306558	0.3572093	0.216711	0.0759343	0.100828	0.104905	0.0800854	0.0115982	0.274198	0.13574
940	-80.21862	-87.60537	7.386746	1.006097	0.2562573	0.13383	0.0655032	0.331377	0.0809311	0.0574718	0.00315572	0.27824	0.0494904
950	-78.72703	-84.75794	6.030907	1.48193	0.4583441	0.0674045	0.046782	0.0529126	0.0609594	0.20831	0.017466	0.342662	0.203503
960	-79.13681	-86.13955	7.002741	1.110567	0.3437903	0.0775395	0.0538162	0.205728	0.034164	0.260766	0.038713	0.225865	0.103408
