Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
233	1	-83881.81	-83881.4	-0.4052838	0.018844	0.919487	0.0805126	1.83897	0.161025	0.9998187
234	0	-83903.78	-83903.37	-0.4050278	0.0211211	0.917901	0.0820992	1.8358	0.164198	0.9995628
235	1	-83880.96	-83880.55	-0.4052838	0.018844	0.918306	0.0816941	1.83661	0.163388	0.9998187
236	0	-83903.65	-83903.25	-0.4050278	0.014048	0.917901	0.0820992	1.8358	0.164198	0.9995628
237	1	-83881.56	-83881.16	-0.4052838	0.0145308	0.918306	0.0816941	1.83661	0.163388	0.9998187
238	0	-83903.74	-83903.34	-0.4050278	0.0138985	0.917901	0.0820992	1.8358	0.164198	0.9995628
239	1	-83881.73	-83881.33	-0.4052838	0.0208378	0.918306	0.0816941	1.83661	0.163388	0.9998187
240	0	-83903.22	-83902.81	-0.4050278	0.0149216	0.917901	0.0820992	1.8358	0.164198	0.9995628
241	1	-83880.82	-83880.41	-0.4052838	0.0173225	0.918306	0.0816941	1.83661	0.163388	0.9998187
242	0	-83904.28	-83903.87	-0.4050278	0.0130949	0.917901	0.0820992	1.8358	0.164198	0.9995628
243	1	-83880.82	-83880.41	-0.4052838	0.0173225	0.918306	0.0816941	1.83661	0.163388	0.9998187
244	0	-83902.8	-83902.39	-0.4050278	0.0187347	0.917901	0.0820992	1.8358	0.164198	0.9995628
