Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
2300	-40.0015	-41.43352	1.432024	0.277965	0.0210592
2310	-38.20002	-40.50465	2.304622	0.147512	0.0763554
2320	-37.66779	-39.59515	1.927369	0.0821987	0.174161
2330	-37.51114	-38.61313	1.10199	0.218477	0.108973
2340	-37.65308	-39.36374	1.710667	0.166515	0.108509
2350	-39.36674	-42.31343	2.946695	0.13069	0.0378746
2360	-39.12265	-38.33956	-0.7830876	0.155908	0.333905
2370	-38.60231	-37.95312	-0.6491917	0.304398	0.173882
2380	-37.79316	-37.52215	-0.2710061	0.200611	0.245096
2390	-38.72428	-40.4277	1.703424	0.0438647	0.231784
2400	-37.56666	-39.17358	1.606922	0.177431	0.10653
2410	-37.49976	-38.8402	1.340441	0.158071	0.148841
2420	-38.7505	-41.72371	2.97321	0.0503443	0.115937
2430	-38.33201	-40.10224	1.770236	0.0511468	0.218747
2440	-38.09458	-38.07223	-0.02235374	0.275795	0.148495
2450	-37.81203	-38.81935	1.007315	0.245813	0.0897919
2460	-38.20564	-40.92337	2.717723	0.0447026	0.143584
2470	-38.12698	-40.46637	2.33939	0.0925139	0.128359
2480	-37.50336	-37.85441	0.3510449	0.183695	0.208434
2490	-37.50234	-38.86224	1.359907	0.148084	0.157152
2500	-39.63031	-37.32026	-2.310056	0.246942	0.37439
2510	-39.55488	-38.1784	-1.376479	0.17759	0.363332
2520	-37.91672	-37.56284	-0.3538756	0.192943	0.259901
2530	-39.16158	-37.0154	-2.146172	0.28427	0.322946
2540	-37.74709	-39.56109	1.813996	0.158828	0.107297
2550	-37.82436	-38.1639	0.3395424	0.256819	0.136301
2560	-38.6557	-37.42665	-1.229043	0.212217	0.316007
2570	-37.63239	-37.7024	0.07001061	0.232697	0.183638
2580	-38.1332	-38.42063	0.2874308	0.276023	0.121586
2590	-37.56469	-38.85545	1.290758	0.110791	0.200401
2600	-37.55404	-37.71053	0.1564921	0.218107	0.19078
2610	-39.96626	-40.4577	0.4914378	0.325528	0.0545098
2620	-39.84893	-37.62701	-2.221916	0.225665	0.388075
2630	-38.83225	-39.28628	0.4540356	0.0956583	0.287601
2640	-37.77993	-39.46022	1.680283	0.214748	0.0628933
2650	-37.88046	-39.84644	1.965985	0.199264	0.0537702
2660	-38.36038	-41.15166	2.791285	0.0319329	0.150018
2670	-37.92024	-38.2578	0.3375634	0.13892	0.254371
2680	-37.73335	-39.53805	1.804703	0.0757489	0.191176
2690	-38.00216	-39.76384	1.761672	0.0625697	0.208062
2700	-37.992	-40.36242	2.370416	0.0791377	0.139062
2710	-39.22806	-38.07249	-1.155569	0.175845	0.34605
2720	-37.56403	-39.1098	1.545767	0.132515	0.156713
2730	-37.58815	-37.68999	0.1018421	0.193278	0.220315
2740	-39.72087	-37.09168	-2.629198	0.27818	0.370639
2750	-40.05121	-37.18373	-2.867488	0.275564	0.39378
2760	-37.78609	-39.59629	1.810198	0.148918	0.117535
2770	-37.93959	-39.43872	1.499126	0.232485	0.0607594
2780	-37.7487	-38.80141	1.052707	0.107086	0.224609
2790	-37.64615	-39.33293	1.686778	0.0871271	0.189955
2800	-37.41521	-38.41687	1.001655	0.179771	0.156322
2810	-38.99625	-41.19373	2.197482	0.023909	0.209186
2820	-37.58469	-38.81412	1.229428	0.223006	0.0934682
2830	-38.23699	-39.58324	1.346251	0.250314	0.0560982
2840	-37.42534	-38.39288	0.9675439	0.159437	0.179593
2850	-37.47501	-38.78965	1.314649	0.178454	0.130679
2860	-38.19118	-37.81782	-0.3733634	0.281086	0.173437
2870	-38.9185	-37.35512	-1.563383	0.312262	0.244758
2880	-37.47887	-37.84498	0.3661105	0.191981	0.198851
2890	-38.41335	-37.23502	-1.178327	0.230701	0.293154
2900	-38.10013	-40.32905	2.228921	0.104101	0.126286
2910	-38.03051	-38.28601	0.2554997	0.270735	0.129624
2920	-38.86173	-39.3041	0.4423708	0.0954101	0.288854
2930	-37.44818	-38.55238	1.104193	0.145102	0.182158
2940	-37.45093	-38.46405	1.013121	0.145673	0.189432
2950	-37.77586	-38.30482	0.5289517	0.252122	0.124684
2960	-37.80621	-37.4109	-0.3953095	0.220449	0.235964
2970	-37.54081	-39.08948	1.548664	0.122314	0.166664
2980	-37.4733	-38.39771	0.9244173	0.215924	0.126821
2990	-38.96579	-38.63461	-0.3311788	0.134257	0.316633
3000	-38.55934	-38.51905	-0.04029419	0.131891	0.293945
3010	-37.76985	-39.933	2.163151	0.0785844	0.157468
3020	-37.62706	-38.06202	0.4349596	0.239021	0.145881
3030	-38.46199	-40.89208	2.430088	0.100972	0.112088
3040	-37.42549	-38.02164	0.596151	0.192481	0.178537
3050	-40.30928	-41.63133	1.322044	0.0312157	0.277281
3060	-37.59862	-38.65628	1.057662	0.118664	0.212604
3070	-40.6521	-43.87854	3.226438	0.0706971	0.0737735
3080	-37.78719	-37.42975	-0.3574471	0.232617	0.220535
3090	-39.02592	-39.06702	0.041094	0.111568	0.307257
3100	-38.17655	-38.47955	0.3029944	0.127502	0.268766
3110	-37.78721	-37.54888	-0.2383321	0.197466	0.245427
3120	-37.86289	-39.54758	1.684688	0.0717747	0.205488
3130	-37.95715	-40.28873	2.331576	0.0808947	0.140651
3140	-37.52377	-39.00672	1.482956	0.178128	0.116509
3150	-38.78549	-41.2899	2.504417	0.114511	0.092148
3160	-38.29925	-38.5391	0.2398456	0.28457	0.117138
3170	-37.88673	-40.09182	2.205093	0.0566343	0.175805
3180	-38.22658	-39.03138	0.8047971	0.0973221	0.255726
3190	-37.6295	-39.00489	1.375387	0.221073	0.0828295
3200	-38.4528	-41.3503	2.897504	0.042109	0.130693
3210	-37.45568	-37.89815	0.4424703	0.193205	0.19105
3220	-43.32642	-39.75543	-3.570997	0.195853	0.534084
3230	-39.65027	-40.96447	1.3142	0.280751	0.0284218
3240	-37.47116	-37.94949	0.4783284	0.178654	0.202513
3250	-42.67649	-37.23281	-5.443677	0.372849	0.518383
3260	-39.43949	-42.11126	2.671768	0.175213	0.0170313
3270	-37.5599	-39.15984	1.599944	0.178827	0.105734
3280	-38.38615	-38.54513	0.158974	0.126977	0.281696
3290	-37.947	-40.3707	2.4237	0.0547492	0.158862
3300	-37.83533	-39.44176	1.606437	0.0762438	0.207758
3310	-38.00343	-39.05808	1.054645	0.09356	0.237968
3320	-37.95359	-39.80124	1.847654	0.0616244	0.201601
3330	-37.70649	-39.41148	1.704993	0.145436	0.130077
3340	-38.17398	-37.44251	-0.7314711	0.27307	0.212297
3350	-37.49605	-37.88302	0.3869743	0.181488	0.207547
3360	-37.46822	-37.86468	0.3964663	0.193137	0.195081
3370	-39.80342	-39.73764	-0.06578075	0.0970172	0.331014
3380	-40.38164	-37.00758	-3.374066	0.320886	0.392089
3390	-37.45355	-38.65214	1.198597	0.165633	0.153497
3400	-37.95817	-38.64232	0.6841471	0.261146	0.102293
3410	-38.01154	-38.86985	0.8583075	0.259806	0.0886324
3420	-37.48704	-38.77662	1.289582	0.126618	0.184674
3430	-37.4993	-38.95528	1.455981	0.19561	0.101351
3440	-38.54841	-38.66694	0.1185355	0.123008	0.289148
3450	-38.69259	-38.55006	-0.142532	0.132892	0.301749
3460	-41.13492	-38.2962	-2.838722	0.216177	0.450689
3470	-37.97922	-37.2942	-0.6850217	0.235744	0.245623
3480	-38.04798	-37.28805	-0.7599326	0.251269	0.23655
3490	-38.01565	-40.28343	2.267783	0.170896	0.0561438
3500	-37.42745	-38.52726	1.099806	0.183907	0.143731
3510	-38.34386	-40.49031	2.146451	0.0388637	0.198627
3520	-40.05746	-37.00826	-3.049194	0.3333	0.351693
3530	-41.5857	-38.93496	-2.650737	0.19032	0.460355
3540	-37.44967	-38.68545	1.235776	0.187557	0.12837
3550	-39.88992	-38.15625	-1.733664	0.363144	0.208543
3560	-38.09685	-39.82626	1.729405	0.225189	0.0482215
3570	-37.80087	-39.11255	1.311679	0.234752	0.0746373
3580	-38.63481	-38.34738	-0.287429	0.304795	0.142327
3590	-39.78975	-37.55144	-2.238305	0.230199	0.384953
3600	-37.8207	-38.8309	1.010193	0.104979	0.230378
3610	-37.84383	-37.57599	-0.2678391	0.251694	0.193741
3620	-38.78458	-38.60553	-0.1790533	0.309935	0.127852
3630	-37.61781	-37.61178	-0.006021705	0.223009	0.199875
3640	-38.702	-37.27107	-1.430925	0.297912	0.247699
3650	-39.65173	-37.67485	-1.976884	0.351151	0.241485
3660	-38.78604	-38.63649	-0.149547	0.12992	0.305326
3670	-37.6211	-39.22354	1.602442	0.160581	0.123766
3680	-37.66468	-38.00005	0.3353706	0.242661	0.150819
3690	-37.43625	-38.00305	0.5668059	0.201512	0.172034
3700	-37.68681	-39.35078	1.663967	0.209569	0.0694783
3710	-37.48149	-38.1993	0.7178126	0.155412	0.205128
3720	-39.73063	-43.10161	3.37098	0.0351778	0.0968433
3730	-37.57462	-38.87539	1.300766	0.219273	0.0910563
3740	-38.47425	-37.29096	-1.183288	0.285867	0.238415
3750	-38.52495	-38.92383	0.3988776	0.290977	0.0970327
3760	-37.68156	-37.65441	-0.02715295	0.237214	0.18749
3770	-38.75556	-41.21166	2.456097	0.184531	0.0262891
3780	-37.53843	-38.12754	0.5891112	0.228285	0.14334
3790	-38.3991	-37.7106	-0.6884947	0.292253	0.189413
3800	-38.09855	-37.80216	-0.2963879	0.172246	0.275647
3810	-37.42427	-38.06475	0.6404834	0.198396	0.168805
3820	-37.44917	-38.12916	0.6799855	0.210962	0.152836
3830	-40.42537	-37.94992	-2.475452	0.218379	0.417199
3840	-37.98889	-40.02789	2.039001	0.122207	0.124538
3850	-37.43415	-38.37574	0.9415923	0.205138	0.136127
3860	-38.43524	-38.28456	-0.1506797	0.294695	0.140648
3870	-38.18747	-40.48135	2.293876	0.101897	0.122895
3880	-38.62116	-37.81068	-0.8104794	0.304874	0.187298
3890	-37.73577	-38.52605	0.7902808	0.122723	0.231575
3900	-37.92573	-37.96949	0.04376127	0.264405	0.154191
3910	-38.17184	-40.2874	2.115564	0.0449692	0.195182
3920	-37.44095	-37.96224	0.521283	0.200033	0.177434
3930	-37.80763	-37.70562	-0.1020102	0.18065	0.250502
3940	-41.25888	-38.43352	-2.825367	0.211016	0.4547
3950	-37.60453	-39.21444	1.609909	0.0942582	0.189445
3960	-37.50016	-37.86751	0.36735	0.182634	0.208091
3970	-37.61352	-38.0613	0.4477854	0.156122	0.227675
3980	-37.57544	-37.64137	0.06593002	0.21172	0.204967
3990	-38.72429	-37.10763	-1.616658	0.254051	0.307557
4000	-39.56808	-37.82758	-1.7405	0.348862	0.223414
4010	-37.48531	-38.22216	0.7368505	0.219725	0.139175
4020	-37.56146	-37.98766	0.4261948	0.230421	0.155236
4030	-37.69251	-39.58717	1.894662	0.17665	0.0825276
4040	-38.78772	-37.60002	-1.1877	0.311237	0.213425
4050	-37.6737	-39.33456	1.660853	0.146662	0.132654
4060	-38.21761	-37.4393	-0.7783107	0.205087	0.284314
4070	-37.90006	-40.05937	2.159313	0.17614	0.0602424
4080	-37.72798	-38.4454	0.7174209	0.127674	0.2329
4090	-38.08938	-39.11198	1.022599	0.0915492	0.242739
4100	-37.9251	-39.02653	1.101435	0.0947945	0.232704
4110	-37.57108	-37.78866	0.2175764	0.226952	0.176673
4120	-39.16449	-37.35467	-1.809823	0.230657	0.34759
4130	-37.91763	-37.4052	-0.5124301	0.249513	0.216988
4140	-37.6571	-37.82387	0.1667642	0.239612	0.16839
4150	-38.64595	-41.31049	2.664541	0.150275	0.0425921
4160	-38.01326	-37.52766	-0.4856028	0.264323	0.199868
4170	-37.80462	-39.67413	1.869517	0.126473	0.13487
4180	-37.41145	-38.18691	0.7754554	0.177813	0.177762
4190	-40.11379	-41.16987	1.05608	0.301757	0.0296474
4200	-37.47251	-38.29931	0.826806	0.149932	0.20122
