Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
340	0	-38.61219	-37.82221	-0.7899824	0.304477	0.18593
341	1	-37.75115	-38.62851	0.8773642	0.116599	0.230199
342	0	-37.59444	-37.70506	0.1106171	0.226705	0.186133
343	1	-38.23243	-37.67745	-0.5549796	0.183541	0.286625
344	0	-37.5483	-39.00322	1.454923	0.160064	0.136988
345	1	-37.69933	-37.55813	-0.1412074	0.201416	0.233112
346	0	-38.01405	-39.89677	1.882717	0.212056	0.0481498
347	1	-37.68063	-39.6218	1.941165	0.0971709	0.158001
348	0	-38.05489	-40.48265	2.427763	0.0444787	0.168782
349	1	-37.46148	-38.76277	1.301292	0.192981	0.117303
350	0	-37.89547	-37.3794	-0.5160617	0.243935	0.222879
351	1	-37.44576	-38.01028	0.5645275	0.206639	0.167103
352	0	-38.32378	-37.34216	-0.9816205	0.278928	0.227985
353	1	-37.9397	-39.95502	2.01532	0.150241	0.0985436
354	0	-37.83811	-37.634	-0.2041089	0.253074	0.186871
355	1	-37.65092	-37.75754	0.1066238	0.18043	0.232752
356	0	-38.70426	-41.22303	2.518767	0.128298	0.077125
357	1	-38.22633	-39.30165	1.07532	0.261354	0.0683933
358	0	-37.50524	-38.91775	1.412508	0.176741	0.123964
359	1	-38.14185	-40.00839	1.866541	0.217656	0.0439431
360	0	-37.49474	-38.05672	0.561975	0.220572	0.153391
361	1	-37.88728	-38.58127	0.6939872	0.118898	0.243694
362	0	-37.62575	-39.26352	1.637767	0.0908034	0.1905
363	1	-37.76114	-39.74132	1.980177	0.17149	0.0803222
364	0	-38.49105	-41.4075	2.916444	0.0425048	0.128666
365	1	-38.07796	-39.74685	1.668888	0.0631197	0.215503
366	0	-38.01884	-39.25954	1.2407	0.0838248	0.231678
367	1	-37.65339	-38.38935	0.7359573	0.240306	0.118671
368	0	-37.56539	-38.56312	0.9977245	0.227669	0.108762
369	1	-38.87943	-39.77941	0.8999745	0.072979	0.271871
370	0	-37.52584	-37.72541	0.1995732	0.208162	0.197014
371	1	-37.84689	-39.84887	2.001978	0.160464	0.0894697
372	0	-37.47304	-38.18927	0.7162266	0.217244	0.143432
373	1	-41.51155	-38.67998	-2.831573	0.203257	0.462994
374	0	-37.5851	-37.90016	0.3150606	0.170601	0.224628
375	1	-37.69973	-39.66032	1.960587	0.0981128	0.155386
376	0	-38.42173	-39.66216	1.240425	0.069922	0.245605
377	1	-38.69493	-38.716	0.02107391	0.123302	0.297248
378	0	-38.12769	-38.05303	-0.07466267	0.277884	0.150912
379	1	-38.54183	-37.34617	-1.195659	0.218355	0.306993
380	0	-37.80812	-37.614	-0.1941191	0.24965	0.189435
381	1	-38.28714	-39.15711	0.8699634	0.270437	0.076998
382	0	-38.09989	-39.33866	1.238776	0.0806892	0.23498
383	1	-41.03926	-42.22909	1.189836	0.30392	0.0159638
384	0	-37.41089	-38.26128	0.850392	0.173828	0.175293
